subject,alpha_open,alpha_closed,alpha_ratio,percent_change,peak_open,peak_closed
1,21.112552922985078,460.64402031437504,21.818489786371376,2081.848978637138,12.0,10.0
2,15.713285739493951,154.8713816435295,9.856078748334221,885.607874833422,11.5,11.5
3,14.983371994601853,343.32967007037905,22.914045663023813,2191.404566302381,10.5,10.5
4,1.3298213968470223,69.12075323125656,51.977471106375916,5097.7471106375915,8.0,10.5
5,2.612889455906464,3.9393616440883408,1.5076648708514524,50.76648708514523,8.5,11.0
6,1.8764756685038353,1.9516290611078195,1.0400502888821928,4.005028888219268,8.0,9.0
7,57.24002417144685,191.8702645177528,3.3520297605580645,235.2029760558064,11.0,11.5
8,4.0314209761483,43.791191549613806,10.862470530540522,986.2470530540522,9.0,9.5
9,13.627184659509338,50.4794660319981,3.7043209799591628,270.43209799591625,9.0,10.5
10,15.875686882123372,358.7816894923746,22.59944354888836,2159.9443548888357,8.0,9.0
11,3.768083373931063,64.29906515742641,17.064130162901954,1606.4130162901954,9.5,10.5
12,1.7776457912882142,2.9708472541245636,1.6712256562493628,67.12256562493629,8.0,11.5
13,16.944233138009015,34.45654720832856,2.0335265059022483,103.35265059022483,8.0,10.5
14,13.501738282693404,87.83078064465468,6.505146137904081,550.5146137904081,11.5,9.5
15,41.71345818075619,158.88081760055076,3.808862284015756,280.88622840157564,10.5,11.0
16,1.0242556889237966,2.98704672359934,2.9163096245409994,191.63096245409994,8.0,12.0
17,6.390757095752043,111.64942453765538,17.47045347911425,1647.045347911425,11.5,10.5
18,2.314271401952401,12.783781895682068,5.5238905363032265,452.38905363032273,8.0,10.5
19,7.8320859084349745,12.590592963454096,1.6075657379976285,60.75657379976285,10.0,9.0
20,2.8968895517060917,35.961776980466155,12.413927537999111,1141.3927537999114,8.0,11.0
21,2.6662828590343963,42.99134612189296,16.124075499424855,1512.4075499424853,9.5,9.5
22,15.83588966047937,23.30948961234431,1.4719406431907853,47.19406431907853,8.0,9.0
23,23.286310675337862,245.00136594970428,10.521261584351405,952.1261584351405,9.5,10.5
24,3.1076206548549345,15.157602656497115,4.877558859321161,387.7558859321162,8.0,8.5
25,10.94404361294881,52.058862610544516,4.756821559898513,375.6821559898513,10.5,10.5
26,3.5189758795538397,15.172634120222549,4.311661869687564,331.1661869687564,8.0,9.5
27,14.683172526496199,406.5991517361578,27.69150542925503,2669.150542925503,10.5,11.5
28,35.78546235693463,138.29863280453472,3.8646596605376744,286.46596605376743,8.5,9.0
29,19.79348294808632,480.8389761423215,24.292792602668754,2329.2792602668756,11.0,9.5
30,8.430874724391064,71.25707544457855,8.451919613800836,745.1919613800836,10.0,10.0
